date_of_match,player1_id,player1_name,player2_id,player2_name,lk1,lk2
27.09.2020,20655397,Kolkmeyer,29650360,Schönwald,12.1,8.8
20.09.2020,20655397,Kolkmeyer,20250053,Kopp,12.1,7.1
11.09.2020,20655397,Kolkmeyer,20351712,Henkens,12.1,23.1
04.09.2020,20655397,Kolkmeyer,20301885,Gerster,12.1,16.1
19.07.2020,20655397,Kolkmeyer,20554103,Akguen,12.1,16.9
05.07.2020,20655397,Kolkmeyer,20453581,Schulten,12.1,6.1
14.06.2020,20655397,Kolkmeyer,20150707,Strohm,12.1,7.4
23.02.2020,20655397,Kolkmeyer,20350627,Nizetic,12.1,1.6
12.01.2020,20655397,Kolkmeyer,20253394,Pfaffenrot,12.1,18.1
12.01.2020,20655397,Kolkmeyer,20301115,Kuns,12.1,20.1
05.01.2020,20655397,Kolkmeyer,20451701,Kalle,12.1,17.1
29.12.2019,20655397,Kolkmeyer,29758758,Liebig,12.1,17
29.12.2019,20655397,Kolkmeyer,29153650,Hatton,12.1,21.1
