date_of_match,player1_id,player1_name,player2_id,player2_name,lk1,lk2
27.09.2020,20752379,Maß,29300234,Engbroks,11.2,3.1
27.09.2020,20752379,Maß,20301645,Koppers,11.2,13.1
27.09.2020,20752379,Maß,29401011,Dilger,11.2,9.9
20.09.2020,20752379,Maß,20151338,Heupgen,11.2,1
13.09.2020,20752379,Maß,20053711,Kirchner,11.2,18.1
11.09.2020,20752379,Maß,20653085,Lurje,11.2,19.1
06.09.2020,20752379,Maß,20150655,Löchter,11.2,1.1
06.09.2020,20752379,Maß,20550886,Remy,11.2,19.1
04.09.2020,20752379,Maß,20552711,Hendricks,11.2,7.1
30.08.2020,20752379,Maß,29404346,Bruning,11.2,1
30.08.2020,20752379,Maß,29352724,Fechtner,11.2,14.1
30.08.2020,20752379,Maß,29400072,Schemmann,11.2,16.1
28.08.2020,20752379,Maß,20550817,Grade,11.2,15
23.08.2020,20752379,Maß,20006651,Yek,11.2,15.1
23.08.2020,20752379,Maß,20352526,Kühme,11.2,15.1
21.08.2020,20752379,Maß,20553556,Krzyzanowski,11.2,20.1
16.08.2020,20752379,Maß,29805410,Schotte,11.2,21.1
14.08.2020,20752379,Maß,20450162,Menßen,11.2,1
14.08.2020,20752379,Maß,20453082,Lempa,11.2,10.6
14.08.2020,20752379,Maß,20550735,Kawerin,11.2,18.1
09.08.2020,20752379,Maß,29652917,Sygor,11.2,11.1
09.08.2020,20752379,Maß,20151311,Marek,11.2,8
08.08.2020,20752379,Maß,20651433,Strothmann,11.2,20.1
19.07.2020,20752379,Maß,20552784,Linnemann,11.2,15.1
01.07.2020,20752379,Maß,20754354,Matanic,11.2,14.8
01.07.2020,20752379,Maß,20660162,Genenger,11.2,21.1
29.06.2020,20752379,Maß,20454232,Hartnack,11.2,21.1
20.06.2020,20752379,Maß,20257683,Blase,11.2,15.1
