date_of_match,player1_id,player1_name,player2_id,player2_name,lk1,lk2
20.09.2020,20800243,Wächter,20655493,Franceschini,15,12.9
20.09.2020,20800243,Wächter,20951112,Sander,15,16.9
20.09.2020,20800243,Wächter,20950081,Südmeyer,15,17.7
06.09.2020,20800243,Wächter,20800266,Dutiné,15,14.9
06.09.2020,20800243,Wächter,20805289,Ramm,15,20
23.08.2020,20800243,Wächter,20757631,Sandulovic,15,15.1
23.08.2020,20800243,Wächter,20803061,Bodea,15,15
15.08.2020,20800243,Wächter,20800523,Solakov,15,13.7
15.08.2020,20800243,Wächter,20802759,Götz,15,18
02.08.2020,20800243,Wächter,20751165,Pasiut,15,9
02.08.2020,20800243,Wächter,20750355,Schmerr,15,18.1
02.08.2020,20800243,Wächter,20755463,Bunijevac,15,17.1
26.07.2020,20800243,Wächter,20759480,Balan,15,13.9
26.07.2020,20800243,Wächter,20752344,Kohl,15,18.9
19.07.2020,20800243,Wächter,20802629,Faron,15,18.9
19.07.2020,20800243,Wächter,20801441,Habedank,15,18.1
19.07.2020,20800243,Wächter,20950508,Härle,15,18.7
19.07.2020,20800243,Wächter,20950387,Pradt,15,20.1
29.06.2020,20800243,Wächter,20803715,Betz,15,14.9
29.06.2020,20800243,Wächter,20800520,Zankl,15,22.1
29.06.2020,20800243,Wächter,20800325,Vaubel,15,18.1
29.06.2020,20800243,Wächter,20950327,Okon,15,16.5
08.03.2020,20800243,Wächter,20751165,Pasiut,15,9
08.03.2020,20800243,Wächter,20655370,Meschaninov,15,11.9
08.03.2020,20800243,Wächter,20800335,Heinrichs,15,17.5
01.03.2020,20800243,Wächter,20750857,Hahn,15,10
01.03.2020,20800243,Wächter,20803756,Mang,15,17.6
01.03.2020,20800243,Wächter,20803331,Smith,15,19.9
09.02.2020,20800243,Wächter,20801104,Eigelsbach,15,14.7
09.02.2020,20800243,Wächter,20802773,Weyel,15,20.1
02.02.2020,20800243,Wächter,20600103,Heinemann,15,8.5
26.01.2020,20800243,Wächter,20802760,Faal,15,14.8
26.01.2020,20800243,Wächter,20950304,Kabajew,15,17.1
26.01.2020,20800243,Wächter,20801151,Jevtic,15,14.9
19.01.2020,20800243,Wächter,20803715,Betz,15,14.9
19.01.2020,20800243,Wächter,20801342,Zimmermeyer,15,20.1
04.01.2020,20800243,Wächter,20805772,Wagner,15,14.1
04.01.2020,20800243,Wächter,20800974,Steveker,15,13.4
04.01.2020,20800243,Wächter,20950443,Geznenge,15,15.8
28.12.2019,20800243,Wächter,20751080,Grun,15,19.1
15.12.2019,20800243,Wächter,20750857,Hahn,15,10
08.12.2019,20800243,Wächter,20800900,Specht,15,15.1
08.12.2019,20800243,Wächter,20802759,Götz,15,18
08.12.2019,20800243,Wächter,20800523,Solakov,15,13.7
23.11.2019,20800243,Wächter,20750070,Blaschke,15,15.1
