date_of_match,player1_id,player1_name,player2_id,player2_name,match_outcome,score,lk1,lk2
13.09.2020,20801184,Sachenko,20750311,Gesty,gewonnen,6:0 6:1,13.1,17.1
06.09.2020,20801184,Sachenko,20554120,Kargol,gewonnen,6:1 6:0,13.1,16.1
06.09.2020,20801184,Sachenko,20803715,Betz,gewonnen,6:4 6:4,13.1,14.9
06.09.2020,20801184,Sachenko,20802760,Faal,gewonnen,7:6 3:6 10:8,13.1,14.8
30.08.2020,20801184,Sachenko,20652016,Kolks,gewonnen,6:0 6:1,13.1,13.1
16.08.2020,20801184,Sachenko,20551889,Setzepfnadt,gewonnen,6:0 6:0,13.1,23.1
14.08.2020,20801184,Sachenko,20752363,Shelekhova,gewonnen,6:4 6:7 10:5,13.1,9.1
14.08.2020,20801184,Sachenko,20652412,Kaiser,gewonnen,6:1 6:1,13.1,13
14.08.2020,20801184,Sachenko,20752916,Fleurkens-Martens,gewonnen,6:4 6:4,13.1,14.3
11.08.2020,20801184,Sachenko,20652083,Santej,verloren,1:6 3:6,13.1,7
11.08.2020,20801184,Sachenko,20757795,Schewiola,gewonnen,6:0 6:1,13.1,18.9
02.08.2020,20801184,Sachenko,20802760,Faal,gewonnen,6:2 7:5,13.1,14.8
02.08.2020,20801184,Sachenko,20750915,Knezic,gewonnen,6:2 6:0,13.1,18.1
29.07.2020,20801184,Sachenko,20805772,Wagner,gewonnen,6:0 6:3,13.1,14.1
29.07.2020,20801184,Sachenko,20750089,Öztürk,gewonnen,6:2 7:5,13.1,12.8
29.07.2020,20801184,Sachenko,20552818,Seele,gewonnen,6:0 6:0,13.1,14.1
22.07.2020,20801184,Sachenko,20802886,Dönmez,verloren,5:7 1:6,13.1,14.9
22.07.2020,20801184,Sachenko,20951937,Sistermann,gewonnen,6:1 6:2,13.1,15
19.07.2020,20801184,Sachenko,20556050,Maß,verloren,2:6 2:6,13.1,6.6
19.07.2020,20801184,Sachenko,20651370,Wolter,gewonnen,6:1 6:3,13.1,12.1
16.07.2020,20801184,Sachenko,20752379,Maß,verloren,4:6 6:2 7:10,13.1,11.2
16.07.2020,20801184,Sachenko,20760271,de Bruin Meneses,gewonnen,6:0 6:0,13.1,20.1
05.07.2020,20801184,Sachenko,20651459,Gördes,verloren,0:6 2:6,13.1,7.9
05.07.2020,20801184,Sachenko,20754354,Matanic,gewonnen,6:2 6:4,13.1,14.8
29.06.2020,20801184,Sachenko,20751190,Tiggemann,gewonnen,6:3 7:5,13.1,17.1
21.06.2020,20801184,Sachenko,20750479,Schmitz,gewonnen,6:4 6:2,13.1,12.8
21.06.2020,20801184,Sachenko,20652016,Kolks,gewonnen,6:4 6:2,13.1,13.1
21.06.2020,20801184,Sachenko,20752644,Bialy,gewonnen,6:0 6:1,13.1,15
14.06.2020,20801184,Sachenko,20802872,Breuer,verloren,3:6 0:6,13.1,10.1
14.06.2020,20801184,Sachenko,20811141,Barbot,gewonnen,6:1 6:1,13.1,18.1
08.03.2020,20801184,Sachenko,20800918,Bisschop,gewonnen,7:5 6:3,13.1,14.8
23.02.2020,20801184,Sachenko,20801813,Bukow,gewonnen,6:3 2:6 6:2,13.1,13.7
16.02.2020,20801184,Sachenko,20950792,Kochta,gewonnen,6:0 6:4,13.1,13.8
11.02.2020,20801184,Sachenko,20803061,Bodea,gewonnen,6:2 6:1,13.1,15
11.02.2020,20801184,Sachenko,20802613,Herp,gewonnen,6:0 6:0,13.1,20.1
19.01.2020,20801184,Sachenko,20651370,Wolter,gewonnen,6:2 6:4,13.1,12.1
06.01.2020,20801184,Sachenko,20802760,Faal,gewonnen,7:6 7:5,13.1,14.8
31.12.2019,20801184,Sachenko,20557711,Schaudinn,gewonnen,6:2 6:1,13.1,13.1
28.12.2019,20801184,Sachenko,20752487,Eichner,verloren,1:6 4:6,13.1,13.8
22.12.2019,20801184,Sachenko,20651370,Wolter,verloren,2:6 4:6,13.1,12.1
22.12.2019,20801184,Sachenko,20750089,Öztürk,gewonnen,6:2 6:2,13.1,12.8
15.12.2019,20801184,Sachenko,20805772,Wagner,gewonnen,6:2 6:2,13.1,14.1
15.12.2019,20801184,Sachenko,20655370,Meschaninov,gewonnen,6:3 6:2,13.1,11.9
15.12.2019,20801184,Sachenko,20655264,Höing,gewonnen,6:0 6:3,13.1,18.1
01.12.2019,20801184,Sachenko,20803715,Betz,verloren,6:7 4:6,13.1,14.9
01.12.2019,20801184,Sachenko,20803061,Bodea,gewonnen,6:1 6:0,13.1,15
24.11.2019,20801184,Sachenko,20655879,Haerdle,gewonnen,6:0 6:1,13.1,20.1
24.11.2019,20801184,Sachenko,20752916,Fleurkens-Martens,gewonnen,6:2 7:6,13.1,14.3
24.11.2019,20801184,Sachenko,20652016,Kolks,gewonnen,6:3 6:3,13.1,13.1
17.11.2019,20801184,Sachenko,20655479,Ukic,verloren,6:4 3:6 7:10,13.1,11.7
17.11.2019,20801184,Sachenko,20550724,Scarna,gewonnen,6:0 6:0,13.1,16.1
17.11.2019,20801184,Sachenko,20805772,Wagner,gewonnen,7:5 6:3,13.1,14.1
