date_of_match,player1_id,player1_name,player2_id,player2_name,match_outcome,score,lk1,lk2
20.09.2020,20800243,Wächter,20655493,Franceschini,gewonnen,6:2 1:6 10:4,15,12.9
20.09.2020,20800243,Wächter,20951112,Sander,gewonnen,6:2 6:1,15,16.9
20.09.2020,20800243,Wächter,20950081,Südmeyer,gewonnen,6:2 6:1,15,17.7
06.09.2020,20800243,Wächter,20800266,Dutiné,verloren,6:4 1:6 3:10,15,14.9
06.09.2020,20800243,Wächter,20805289,Ramm,gewonnen,6:0 6:2,15,20
23.08.2020,20800243,Wächter,20757631,Sandulovic,verloren,1:6 6:4 9:11,15,15.1
23.08.2020,20800243,Wächter,20803061,Bodea,gewonnen,6:2 6:3,15,15
15.08.2020,20800243,Wächter,20800523,Solakov,verloren,2:6 0:6,15,13.7
15.08.2020,20800243,Wächter,20802759,Götz,gewonnen,6:2 6:3,15,18
02.08.2020,20800243,Wächter,20751165,Pasiut,verloren,3:6 2:6,15,9
02.08.2020,20800243,Wächter,20750355,Schmerr,gewonnen,6:0 6:0,15,18.1
02.08.2020,20800243,Wächter,20755463,Bunijevac,gewonnen,6:4 6:2,15,17.1
26.07.2020,20800243,Wächter,20759480,Balan,verloren,6:4 3:6 5:10,15,13.9
26.07.2020,20800243,Wächter,20752344,Kohl,gewonnen,6:3 6:1,15,18.9
19.07.2020,20800243,Wächter,20802629,Faron,gewonnen,6:2 6:2,15,18.9
19.07.2020,20800243,Wächter,20801441,Habedank,gewonnen,6:0 6:1,15,18.1
19.07.2020,20800243,Wächter,20950508,Härle,gewonnen,6:1 6:1,15,18.7
19.07.2020,20800243,Wächter,20950387,Pradt,gewonnen,6:1 6:1,15,20.1
29.06.2020,20800243,Wächter,20803715,Betz,verloren,0:6 1:6,15,14.9
29.06.2020,20800243,Wächter,20800520,Zankl,gewonnen,6:0 6:1,15,22.1
29.06.2020,20800243,Wächter,20800325,Vaubel,gewonnen,6:3 6:1,15,18.1
29.06.2020,20800243,Wächter,20950327,Okon,gewonnen,6:3 6:2,15,16.5
08.03.2020,20800243,Wächter,20751165,Pasiut,verloren,5:7 1:6,15,9
08.03.2020,20800243,Wächter,20655370,Meschaninov,gewonnen,6:2 6:3,15,11.9
08.03.2020,20800243,Wächter,20800335,Heinrichs,gewonnen,6:0 6:1,15,17.5
01.03.2020,20800243,Wächter,20750857,Hahn,verloren,0:6 0:6,15,10
01.03.2020,20800243,Wächter,20803756,Mang,gewonnen,6:0 6:0,15,17.6
01.03.2020,20800243,Wächter,20803331,Smith,gewonnen,6:0 6:0,15,19.9
09.02.2020,20800243,Wächter,20801104,Eigelsbach,verloren,7:6 4:6 7:10,15,14.7
09.02.2020,20800243,Wächter,20802773,Weyel,gewonnen,6:0 6:0,15,20.1
02.02.2020,20800243,Wächter,20600103,Heinemann,verloren,1:6 0:6,15,8.5
26.01.2020,20800243,Wächter,20802760,Faal,verloren,1:6 2:6,15,14.8
26.01.2020,20800243,Wächter,20950304,Kabajew,gewonnen,6:4 7:6,15,17.1
26.01.2020,20800243,Wächter,20801151,Jevtic,gewonnen,7:5 4:6 10:5,15,14.9
19.01.2020,20800243,Wächter,20803715,Betz,verloren,6:2 4:6 7:10,15,14.9
19.01.2020,20800243,Wächter,20801342,Zimmermeyer,gewonnen,6:1 6:2,15,20.1
04.01.2020,20800243,Wächter,20805772,Wagner,verloren,6:3 3:6 0:6,15,14.1
04.01.2020,20800243,Wächter,20800974,Steveker,gewonnen,6:3 6:3,15,13.4
04.01.2020,20800243,Wächter,20950443,Geznenge,gewonnen,6:2 6:2,15,15.8
28.12.2019,20800243,Wächter,20751080,Grun,gewonnen,6:1 6:0,15,19.1
15.12.2019,20800243,Wächter,20750857,Hahn,verloren,1:6 1:6,15,10
08.12.2019,20800243,Wächter,20800900,Specht,verloren,2:6 3:6,15,15.1
08.12.2019,20800243,Wächter,20802759,Götz,gewonnen,6:2 7:5,15,18
08.12.2019,20800243,Wächter,20800523,Solakov,verloren,6:7 2:6,15,13.7
23.11.2019,20800243,Wächter,20750070,Blaschke,verloren,3:6 3:6,15,15.1
